Category,orig_index,imdb_id,title,year
Zatoichi,19,tt0063834,Zatôichi chikemuri kaidô,1967.2
Zatoichi,21,tt0063835,Zatoichi and the Fugitives,1968
Zatoichi,22,tt0164983,Samaritan Zatoichi,1968.1
Zatoichi,4,tt0066603,Zatoichi Meets Yojimbo,1970
Zatoichi,15,tt0164982,Zatoichi Goes to the Fire Festival,1970.1
Zatoichi,6,tt0066602,Zatoichi Meets the One-Armed Swordsman,1971
Zatoichi,20,tt0202153,Zatoichi at Large,1972
Zatoichi,14,tt0201922,Zatoichi in Desperation,1972.1
Zatoichi,8,tt0072439,Zatoichi's Conspiracy,1973
Zatoichi,1,tt0202152,Zatôichi,1989
